id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2021-06-22T19:06:49;2021-06-23T03:02:22;FOLLOWING;Throughway Jewelery;false;1
2;2021-06-22T12:01:19;2021-06-22T22:31:15;UNAUTHORIZE_COMMUNITY_FOLLOWER;Switzerland Granite transmitting;true;2
3;2021-06-22T20:56:59;2021-06-22T20:14:28;FOLLOWING;Rubber reboot payment;true;2
4;2021-06-22T13:37:42;2021-06-22T12:58:09;PROPOSAL_RELEASED;web-readiness calculate partnerships;false;2
5;2021-06-22T05:47:18;2021-06-22T21:47:10;UNAUTHORIZE_COMMUNITY_FOLLOWER;Table compressing Gloves;true;2
6;2021-06-22T13:35:26;2021-06-22T19:18:36;UNAUTHORIZE_COMMUNITY_FOLLOWER;Salad;true;1
7;2021-06-22T14:35:30;2021-06-22T17:15:22;FOLLOWING;FTP reintermediate;false;2
8;2021-06-22T17:02:12;2021-06-22T18:40:06;PROPOSAL_RELEASED;client-server multi-byte Specialist;true;1
9;2021-06-22T11:14:16;2021-06-22T16:43:01;PROPOSAL_RELEASED;Bacon Chair workforce;false;1
10;2021-06-22T11:54:38;2021-06-22T18:17:56;AUTHORIZE_COMMUNITY_FOLLOWER;mobile Loan;true;1
