id;creation_date;title;image;image_content_type;appuser_id
1;2021-06-22T23:17:52;Persistent Avon Cambridgeshire;../fake-data/blob/hipster.png;image/png;1
2;2021-06-22T05:07:16;e-commerce disintermediate;../fake-data/blob/hipster.png;image/png;2
3;2021-06-22T11:59:05;payment;../fake-data/blob/hipster.png;image/png;1
4;2021-06-22T19:11:38;Producer;../fake-data/blob/hipster.png;image/png;1
5;2021-06-22T05:45:25;open-source;../fake-data/blob/hipster.png;image/png;1
6;2021-06-22T11:17:04;Martin Tuna;../fake-data/blob/hipster.png;image/png;2
7;2021-06-22T13:59:35;withdrawal Car;../fake-data/blob/hipster.png;image/png;2
8;2021-06-22T14:49:42;quantifying;../fake-data/blob/hipster.png;image/png;1
9;2021-06-22T06:35:43;Point repurpose Multi-layered;../fake-data/blob/hipster.png;image/png;2
10;2021-06-22T14:42:59;Balboa Plastic;../fake-data/blob/hipster.png;image/png;2
