id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2021-06-22T08:35:24;Arkansas purple;false;1;1
2;2021-06-22T20:42:50;magenta Senior Refined;false;2;2
3;2021-06-22T19:35:15;1080p programming;false;2;3
4;2021-06-22T15:17:34;COM;false;1;4
5;2021-06-22T17:53:34;green Manager indigo;true;2;5
6;2021-06-22T12:22:04;system Plastic Tanzanian;true;2;6
7;2021-06-22T10:05:42;morph killer;true;2;7
8;2021-06-22T22:58:15;e-business Garden;true;1;8
9;2021-06-22T05:35:49;Data Human synthesize;false;2;9
10;2021-06-22T05:18:25;Senior Creek;true;1;10
